generate_next 1, zero 0, step 10000000000000000000, ready 0, sample  6786, addr  136
generate_next 1, zero 0, step 10000000000000000000, ready 0, sample  6786, addr  648
generate_next 0, zero 0, step 10000000000000000000, ready 0, sample  6786, addr  648
generate_next 0, zero 0, step 10000000000000000000, ready 0, sample 27466, addr  648
generate_next 0, zero 0, step 10000000000000000000, ready 1, sample 27466, addr  648
generate_next 0, zero 0, step 10000000000000000000, ready 0, sample 27466, addr  648
generate_next 1, zero 0, step 10000000000000000000, ready 0, sample 27466, addr  648
generate_next 1, zero 0, step 10000000000000000000, ready 0, sample 27466, addr  886
generate_next 0, zero 0, step 10000000000000000000, ready 0, sample 27466, addr  886
generate_next 0, zero 0, step 10000000000000000000, ready 0, sample 32036, addr  886
generate_next 0, zero 0, step 10000000000000000000, ready 1, sample 32036, addr  886
generate_next 0, zero 0, step 10000000000000000000, ready 0, sample 32036, addr  886
generate_next 1, zero 0, step 10000000000000000000, ready 0, sample 32036, addr  886
generate_next 1, zero 0, step 10000000000000000000, ready 0, sample 32036, addr  374
generate_next 0, zero 0, step 10000000000000000000, ready 0, sample 32036, addr  374
generate_next 0, zero 0, step 10000000000000000000, ready 0, sample 17784, addr  374
generate_next 0, zero 0, step 10000000000000000000, ready 1, sample 17784, addr  374
generate_next 0, zero 0, step 10000000000000000000, ready 0, sample 17784, addr  374
generate_next 1, zero 0, step 10000000000000000000, ready 0, sample 17784, addr  374
generate_next 1, zero 0, step 10000000000000000000, ready 0, sample 47752, addr  138
generate_next 0, zero 0, step 10000000000000000000, ready 0, sample 47752, addr  138
generate_next 0, zero 0, step 10000000000000000000, ready 0, sample 58651, addr  138
generate_next 0, zero 0, step 10000000000000000000, ready 1, sample 58651, addr  138
generate_next 0, zero 0, step 10000000000000000000, ready 0, sample 58651, addr  138
generate_next 1, zero 0, step 10000000000000000000, ready 0, sample 58651, addr  138
generate_next 1, zero 0, step 10000000000000000000, ready 0, sample 58651, addr  650
generate_next 0, zero 0, step 10000000000000000000, ready 0, sample 58651, addr  650
generate_next 0, zero 0, step 10000000000000000000, ready 0, sample 38015, addr  650
generate_next 0, zero 0, step 10000000000000000000, ready 1, sample 38015, addr  650
generate_next 0, zero 0, step 10000000000000000000, ready 0, sample 38015, addr  650
generate_next 1, zero 0, step 10000000000000000000, ready 0, sample 38015, addr  650
generate_next 1, zero 0, step 10000000000000000000, ready 0, sample 38015, addr  884
generate_next 0, zero 0, step 10000000000000000000, ready 0, sample 38015, addr  884
generate_next 0, zero 0, step 10000000000000000000, ready 0, sample 33522, addr  884
generate_next 0, zero 0, step 10000000000000000000, ready 1, sample 33522, addr  884
generate_next 0, zero 0, step 10000000000000000000, ready 0, sample 33522, addr  884
generate_next 1, zero 0, step 10000000000000000000, ready 0, sample 33522, addr  884
generate_next 1, zero 0, step 10000000000000000000, ready 0, sample 33522, addr  372
generate_next 0, zero 0, step 10000000000000000000, ready 0, sample 33522, addr  372
generate_next 0, zero 0, step 10000000000000000000, ready 0, sample 47836, addr  372
generate_next 0, zero 0, step 10000000000000000000, ready 1, sample 47836, addr  372
generate_next 0, zero 0, step 10000000000000000000, ready 0, sample 47836, addr  372
generate_next 1, zero 0, step 10000000000000000000, ready 0, sample 47836, addr  372
generate_next 1, zero 0, step 10000000000000000000, ready 0, sample 17700, addr  140
generate_next 0, zero 0, step 10000000000000000000, ready 0, sample 17700, addr  140
generate_next 0, zero 0, step 10000000000000000000, ready 0, sample  6983, addr  140
generate_next 0, zero 0, step 10000000000000000000, ready 1, sample  6983, addr  140
generate_next 0, zero 0, step 10000000000000000000, ready 0, sample  6983, addr  140
generate_next 1, zero 0, step 10000000000000000000, ready 0, sample  6983, addr  140
generate_next 1, zero 0, step 10000000000000000000, ready 0, sample  6983, addr  652
generate_next 0, zero 0, step 10000000000000000000, ready 0, sample  6983, addr  652
generate_next 0, zero 1, step 10000000000000000000, ready 0, sample  6983, addr  652
generate_next 0, zero 1, step 10000000000000000000, ready 0, sample 27575, addr    0
generate_next 0, zero 1, step 10000000000000000000, ready 1, sample     0, addr    0
generate_next 0, zero 1, step 10000000000000000000, ready 0, sample     0, addr    0
generate_next 1, zero 1, step 10000000000000000000, ready 0, sample     0, addr    0
generate_next 0, zero 1, step 10000000000000000000, ready 0, sample     0, addr    0
generate_next 0, zero 1, step 10000000000000000000, ready 1, sample     0, addr    0
generate_next 0, zero 1, step 10000000000000000000, ready 0, sample     0, addr    0
generate_next 1, zero 1, step 10000000000000000000, ready 0, sample     0, addr    0
generate_next 0, zero 1, step 10000000000000000000, ready 0, sample     0, addr    0
generate_next 0, zero 1, step 10000000000000000000, ready 1, sample     0, addr    0
generate_next 0, zero 1, step 10000000000000000000, ready 0, sample     0, addr    0
generate_next 1, zero 1, step 10000000000000000000, ready 0, sample     0, addr    0
generate_next 0, zero 1, step 10000000000000000000, ready 0, sample     0, addr    0
generate_next 0, zero 1, step 10000000000000000000, ready 1, sample     0, addr    0
generate_next 0, zero 1, step 10000000000000000000, ready 0, sample     0, addr    0
generate_next 1, zero 1, step 10000000000000000000, ready 0, sample     0, addr    0
generate_next 0, zero 1, step 10000000000000000000, ready 0, sample     0, addr    0
generate_next 0, zero 1, step 10000000000000000000, ready 1, sample     0, addr    0
generate_next 0, zero 1, step 10000000000000000000, ready 0, sample     0, addr    0
