ready 0, sample15:8  37, state 1, idle 1, addr 286, en 1, wr_sample  91, index 0
ready 0, sample15:8  37, state 1, idle 1, addr 286, en 0, wr_sample  91, index 0
ready 1, sample15:8  38, state 1, idle 1, addr 286, en 0, wr_sample  90, index 0
ready 1, sample15:8  38, state 1, idle 1, addr 287, en 0, wr_sample  90, index 0
ready 0, sample15:8  38, state 1, idle 1, addr 287, en 0, wr_sample  90, index 0
ready 0, sample15:8  38, state 1, idle 1, addr 287, en 1, wr_sample  90, index 0
ready 0, sample15:8  38, state 1, idle 1, addr 287, en 0, wr_sample  90, index 0
ready 1, sample15:8  40, state 1, idle 1, addr 287, en 0, wr_sample  88, index 0
ready 1, sample15:8  40, state 1, idle 1, addr 288, en 0, wr_sample  88, index 0
ready 0, sample15:8  40, state 1, idle 1, addr 288, en 0, wr_sample  88, index 0
ready 0, sample15:8  40, state 1, idle 1, addr 288, en 1, wr_sample  88, index 0
ready 0, sample15:8  40, state 1, idle 1, addr 288, en 0, wr_sample  88, index 0
ready 1, sample15:8  41, state 1, idle 1, addr 288, en 0, wr_sample  87, index 0
ready 1, sample15:8  41, state 1, idle 1, addr 289, en 0, wr_sample  87, index 0
ready 0, sample15:8  41, state 1, idle 1, addr 289, en 0, wr_sample  87, index 0
ready 0, sample15:8  41, state 1, idle 1, addr 289, en 1, wr_sample  87, index 0
ready 0, sample15:8  41, state 1, idle 1, addr 289, en 0, wr_sample  87, index 0
ready 1, sample15:8  42, state 1, idle 1, addr 289, en 0, wr_sample  86, index 0
ready 1, sample15:8  42, state 1, idle 1, addr 290, en 0, wr_sample  86, index 0
ready 0, sample15:8  42, state 1, idle 1, addr 290, en 0, wr_sample  86, index 0
ready 0, sample15:8  42, state 1, idle 1, addr 290, en 1, wr_sample  86, index 0
ready 0, sample15:8  42, state 1, idle 1, addr 290, en 0, wr_sample  86, index 0
ready 1, sample15:8  43, state 1, idle 1, addr 290, en 0, wr_sample  85, index 0
ready 1, sample15:8  43, state 1, idle 1, addr 291, en 0, wr_sample  85, index 0
ready 0, sample15:8  43, state 1, idle 1, addr 291, en 0, wr_sample  85, index 0
ready 0, sample15:8  43, state 1, idle 1, addr 291, en 1, wr_sample  85, index 0
ready 0, sample15:8  43, state 1, idle 1, addr 291, en 0, wr_sample  85, index 0
ready 1, sample15:8  45, state 1, idle 1, addr 291, en 0, wr_sample  83, index 0
ready 1, sample15:8  45, state 1, idle 1, addr 292, en 0, wr_sample  83, index 0
ready 0, sample15:8  45, state 1, idle 1, addr 292, en 0, wr_sample  83, index 0
ready 0, sample15:8  45, state 1, idle 1, addr 292, en 1, wr_sample  83, index 0
ready 0, sample15:8  45, state 1, idle 1, addr 292, en 0, wr_sample  83, index 0
ready 1, sample15:8  46, state 1, idle 1, addr 292, en 0, wr_sample  82, index 0
ready 1, sample15:8  46, state 1, idle 1, addr 293, en 0, wr_sample  82, index 0
ready 0, sample15:8  46, state 1, idle 1, addr 293, en 0, wr_sample  82, index 0
ready 0, sample15:8  46, state 1, idle 1, addr 293, en 1, wr_sample  82, index 0
ready 0, sample15:8  46, state 1, idle 1, addr 293, en 0, wr_sample  82, index 0
ready 1, sample15:8  47, state 1, idle 1, addr 293, en 0, wr_sample  81, index 0
ready 1, sample15:8  47, state 1, idle 1, addr 294, en 0, wr_sample  81, index 0
ready 0, sample15:8  47, state 1, idle 1, addr 294, en 0, wr_sample  81, index 0
ready 0, sample15:8  47, state 1, idle 1, addr 294, en 1, wr_sample  81, index 0
ready 0, sample15:8  47, state 1, idle 1, addr 294, en 0, wr_sample  81, index 0
ready 1, sample15:8  48, state 1, idle 1, addr 294, en 0, wr_sample  80, index 0
ready 1, sample15:8  48, state 1, idle 1, addr 295, en 0, wr_sample  80, index 0
ready 0, sample15:8  48, state 1, idle 1, addr 295, en 0, wr_sample  80, index 0
ready 0, sample15:8  48, state 1, idle 1, addr 295, en 1, wr_sample  80, index 0
ready 0, sample15:8  48, state 1, idle 1, addr 295, en 0, wr_sample  80, index 0
ready 1, sample15:8  50, state 1, idle 1, addr 295, en 0, wr_sample  78, index 0
ready 1, sample15:8  50, state 1, idle 1, addr 296, en 0, wr_sample  78, index 0
ready 0, sample15:8  50, state 1, idle 1, addr 296, en 0, wr_sample  78, index 0
ready 0, sample15:8  50, state 1, idle 1, addr 296, en 1, wr_sample  78, index 0
ready 0, sample15:8  50, state 1, idle 1, addr 296, en 0, wr_sample  78, index 0
ready 1, sample15:8  51, state 1, idle 1, addr 296, en 0, wr_sample  77, index 0
ready 1, sample15:8  51, state 1, idle 1, addr 297, en 0, wr_sample  77, index 0
ready 0, sample15:8  51, state 1, idle 1, addr 297, en 0, wr_sample  77, index 0
ready 0, sample15:8  51, state 1, idle 1, addr 297, en 1, wr_sample  77, index 0
ready 0, sample15:8  51, state 1, idle 1, addr 297, en 0, wr_sample  77, index 0
ready 1, sample15:8  52, state 1, idle 1, addr 297, en 0, wr_sample  76, index 0
ready 1, sample15:8  52, state 1, idle 1, addr 298, en 0, wr_sample  76, index 0
ready 0, sample15:8  52, state 1, idle 1, addr 298, en 0, wr_sample  76, index 0
ready 0, sample15:8  52, state 1, idle 1, addr 298, en 1, wr_sample  76, index 0
ready 0, sample15:8  52, state 1, idle 1, addr 298, en 0, wr_sample  76, index 0
ready 1, sample15:8  53, state 1, idle 1, addr 298, en 0, wr_sample  75, index 0
ready 1, sample15:8  53, state 1, idle 1, addr 299, en 0, wr_sample  75, index 0
ready 0, sample15:8  53, state 1, idle 1, addr 299, en 0, wr_sample  75, index 0
ready 0, sample15:8  53, state 1, idle 1, addr 299, en 1, wr_sample  75, index 0
ready 0, sample15:8  53, state 1, idle 1, addr 299, en 0, wr_sample  75, index 0
ready 1, sample15:8  55, state 1, idle 1, addr 299, en 0, wr_sample  73, index 0
ready 1, sample15:8  55, state 1, idle 1, addr 300, en 0, wr_sample  73, index 0
