out: 0, 600, 1170, 1190, -7768, -15173, 1170, 1170
time   131, ready 0, out1      0, out2    600, out3   1170, out4      0, out5      0, out6      0, out7      0, out8      0
time   132, ready 0, out1      0, out2    600, out3   1170, out4      0, out5      0, out6      0, out7      0, out8      0
time   133, ready 0, out1      0, out2    600, out3   1170, out4      0, out5      0, out6      0, out7      0, out8      0
time   134, ready 0, out1      0, out2    600, out3   1170, out4      0, out5      0, out6      0, out7      0, out8      0
time   135, ready 0, out1      0, out2    600, out3   1170, out4      0, out5      0, out6      0, out7      0, out8      0
time   136, ready 0, out1      0, out2    600, out3   1170, out4      0, out5      0, out6      0, out7      0, out8      0
time   137, ready 0, out1      0, out2    600, out3   1170, out4      0, out5      0, out6      0, out7      0, out8      0
time   138, ready 0, out1      0, out2    600, out3   1170, out4      0, out5      0, out6      0, out7      0, out8      0
time   139, ready 0, out1      0, out2    600, out3   1170, out4      0, out5      0, out6      0, out7      0, out8      0
time   140, ready 0, out1      0, out2    600, out3   1170, out4      0, out5      0, out6      0, out7      0, out8      0
time   141, ready 0, out1      0, out2    600, out3   1170, out4      0, out5      0, out6      0, out7      0, out8      0
time   142, ready 0, out1      0, out2    600, out3   1170, out4      0, out5      0, out6      0, out7      0, out8      0
time   143, ready 0, out1      0, out2    600, out3   1170, out4      0, out5      0, out6      0, out7      0, out8      0
time   144, ready 0, out1      0, out2    600, out3   1170, out4      0, out5      0, out6      0, out7      0, out8      0
time   145, ready 0, out1      0, out2    600, out3   1170, out4      0, out5      0, out6      0, out7      0, out8      0
time   146, ready 0, out1      0, out2    600, out3   1170, out4      0, out5      0, out6      0, out7      0, out8      0
time   147, ready 0, out1      0, out2    600, out3   1170, out4      0, out5      0, out6      0, out7      0, out8      0
time   148, ready 0, out1      0, out2    600, out3   1170, out4      0, out5      0, out6      0, out7      0, out8      0
time   149, ready 0, out1      0, out2    600, out3   1170, out4      0, out5      0, out6      0, out7      0, out8      0
time   150, ready 0, out1      0, out2    600, out3   1170, out4      0, out5      0, out6      0, out7      0, out8      0
time   151, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5      0, out6      0, out7      0, out8      0
time   152, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5      0, out6      0, out7      0, out8      0
time   153, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5      0, out6      0, out7      0, out8      0
time   154, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5      0, out6      0, out7      0, out8      0
time   155, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5      0, out6      0, out7      0, out8      0
time   156, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5      0, out6      0, out7      0, out8      0
time   157, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5      0, out6      0, out7      0, out8      0
time   158, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5      0, out6      0, out7      0, out8      0
time   159, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5      0, out6      0, out7      0, out8      0
time   160, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5      0, out6      0, out7      0, out8      0
time   161, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5      0, out6      0, out7      0, out8      0
time   162, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5      0, out6      0, out7      0, out8      0
time   163, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5      0, out6      0, out7      0, out8      0
time   164, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5      0, out6      0, out7      0, out8      0
time   165, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5      0, out6      0, out7      0, out8      0
time   166, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5      0, out6      0, out7      0, out8      0
time   167, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5      0, out6      0, out7      0, out8      0
time   168, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5      0, out6      0, out7      0, out8      0
time   169, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5      0, out6      0, out7      0, out8      0
time   170, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5      0, out6      0, out7      0, out8      0
time   171, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5      0, out6      0, out7      0, out8      0
time   172, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5      0, out6      0, out7      0, out8      0
time   173, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5      0, out6      0, out7      0, out8      0
time   174, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5      0, out6      0, out7      0, out8      0
time   175, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5      0, out6      0, out7      0, out8      0
time   176, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5      0, out6      0, out7      0, out8      0
time   177, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5      0, out6      0, out7      0, out8      0
time   178, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5      0, out6      0, out7      0, out8      0
time   179, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5      0, out6      0, out7      0, out8      0
time   180, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5      0, out6      0, out7      0, out8      0
time   181, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5      0, out6      0, out7      0, out8      0
