beat 0, done 0, note  1, sample 30800, ready 1, enable 1
beat 0, done 0, note  1, sample 30800, ready 0, enable 1
beat 0, done 0, note  1, sample 30968, ready 0, enable 1
beat 0, done 0, note  1, sample 30968, ready 1, enable 1
beat 0, done 0, note  1, sample 30968, ready 0, enable 1
beat 0, done 0, note  1, sample 31113, ready 0, enable 1
beat 0, done 0, note  1, sample 31113, ready 1, enable 1
beat 0, done 0, note  1, sample 31113, ready 0, enable 1
beat 0, done 0, note  1, sample 31252, ready 0, enable 1
beat 0, done 0, note  1, sample 31252, ready 1, enable 1
beat 0, done 0, note  1, sample 31252, ready 0, enable 1
beat 0, done 0, note  1, sample 31400, ready 0, enable 1
beat 0, done 0, note  1, sample 31400, ready 1, enable 1
beat 0, done 0, note  1, sample 31400, ready 0, enable 1
beat 0, done 0, note  1, sample 31526, ready 0, enable 1
beat 0, done 0, note  1, sample 31526, ready 1, enable 1
beat 0, done 0, note  1, sample 31526, ready 0, enable 1
beat 0, done 0, note  1, sample 31659, ready 0, enable 1
beat 0, done 0, note  1, sample 31659, ready 1, enable 1
beat 0, done 0, note  1, sample 31659, ready 0, enable 1
beat 0, done 0, note  1, sample 31773, ready 0, enable 1
beat 0, done 0, note  1, sample 31773, ready 1, enable 1
beat 0, done 0, note  1, sample 31773, ready 0, enable 1
beat 0, done 0, note  1, sample 31880, ready 0, enable 1
beat 0, done 0, note  1, sample 31880, ready 1, enable 1
beat 0, done 0, note  1, sample 31880, ready 0, enable 1
beat 0, done 0, note  1, sample 31993, ready 0, enable 1
beat 0, done 0, note  1, sample 31993, ready 1, enable 1
beat 0, done 0, note  1, sample 31993, ready 0, enable 1
beat 0, done 0, note  1, sample 32087, ready 0, enable 1
beat 0, done 0, note  1, sample 32087, ready 1, enable 1
beat 0, done 0, note  1, sample 32087, ready 0, enable 1
beat 0, done 0, note  1, sample 32185, ready 0, enable 1
beat 0, done 0, note  1, sample 32185, ready 1, enable 1
beat 0, done 0, note  1, sample 32185, ready 0, enable 1
beat 0, done 0, note  1, sample 32267, ready 0, enable 1
beat 0, done 0, note  1, sample 32267, ready 1, enable 1
beat 0, done 0, note  1, sample 32267, ready 0, enable 1
beat 0, done 0, note  1, sample 32343, ready 0, enable 1
beat 0, done 0, note  1, sample 32343, ready 1, enable 1
beat 0, done 0, note  1, sample 32343, ready 0, enable 1
beat 0, done 0, note  1, sample 32420, ready 0, enable 1
beat 0, done 0, note  1, sample 32420, ready 1, enable 1
beat 0, done 0, note  1, sample 32420, ready 0, enable 1
beat 0, done 0, note  1, sample 32482, ready 0, enable 1
beat 0, done 0, note  1, sample 32482, ready 1, enable 1
beat 0, done 0, note  1, sample 32482, ready 0, enable 1
beat 0, done 0, note  1, sample 32539, ready 0, enable 1
beat 0, done 0, note  1, sample 32539, ready 1, enable 1
beat 0, done 0, note  1, sample 32539, ready 0, enable 1
beat 0, done 0, note  1, sample 32594, ready 0, enable 1
beat 0, done 0, note  1, sample 32594, ready 1, enable 1
beat 0, done 0, note  1, sample 32594, ready 0, enable 1
beat 0, done 0, note  1, sample 32637, ready 0, enable 1
beat 0, done 0, note  1, sample 32637, ready 1, enable 1
beat 0, done 0, note  1, sample 32637, ready 0, enable 1
beat 0, done 0, note  1, sample 32678, ready 0, enable 1
beat 0, done 0, note  1, sample 32678, ready 1, enable 1
beat 0, done 0, note  1, sample 32678, ready 0, enable 1
beat 0, done 0, note  1, sample 32708, ready 0, enable 1
beat 0, done 0, note  1, sample 32708, ready 1, enable 1
beat 0, done 0, note  1, sample 32708, ready 0, enable 1
beat 0, done 0, note  1, sample 32732, ready 0, enable 1
beat 0, done 0, note  1, sample 32732, ready 1, enable 1
beat 0, done 0, note  1, sample 32732, ready 0, enable 1
beat 0, done 0, note  1, sample 32752, ready 0, enable 1
beat 0, done 0, note  1, sample 32752, ready 1, enable 1
