ready 1, sample 32958, state 0, idle 1, addr 256, en 0, wr_sample 255, index 0
ready 0, sample 32958, state 0, idle 1, addr 256, en 0, wr_sample 255, index 0
ready 0, sample 32784, state 0, idle 1, addr 256, en 0, wr_sample 255, index 0
ready 1, sample 32784, state 0, idle 1, addr 256, en 0, wr_sample 255, index 0
ready 0, sample 32784, state 0, idle 1, addr 256, en 0, wr_sample 255, index 0
ready 0, sample 32808, state 0, idle 1, addr 256, en 0, wr_sample 255, index 0
ready 1, sample 32808, state 0, idle 1, addr 256, en 0, wr_sample 255, index 0
ready 0, sample 32808, state 0, idle 1, addr 256, en 0, wr_sample 255, index 0
ready 0, sample 33028, state 0, idle 1, addr 256, en 0, wr_sample 254, index 0
ready 1, sample 33028, state 0, idle 1, addr 256, en 0, wr_sample 254, index 0
ready 0, sample 33028, state 0, idle 1, addr 256, en 0, wr_sample 254, index 0
ready 0, sample 33438, state 0, idle 1, addr 256, en 0, wr_sample 253, index 0
ready 1, sample 33438, state 0, idle 1, addr 256, en 0, wr_sample 253, index 0
ready 0, sample 33438, state 0, idle 1, addr 256, en 0, wr_sample 253, index 0
ready 0, sample 34038, state 0, idle 1, addr 256, en 0, wr_sample 251, index 0
ready 1, sample 34038, state 0, idle 1, addr 256, en 0, wr_sample 251, index 0
ready 0, sample 34038, state 0, idle 1, addr 256, en 0, wr_sample 251, index 0
ready 0, sample 34822, state 0, idle 1, addr 256, en 0, wr_sample 247, index 0
ready 1, sample 34822, state 0, idle 1, addr 256, en 0, wr_sample 247, index 0
ready 0, sample 34822, state 0, idle 1, addr 256, en 0, wr_sample 247, index 0
ready 0, sample 35787, state 0, idle 1, addr 256, en 0, wr_sample 244, index 0
ready 1, sample 35787, state 0, idle 1, addr 256, en 0, wr_sample 244, index 0
ready 0, sample 35787, state 0, idle 1, addr 256, en 0, wr_sample 244, index 0
ready 0, sample 36927, state 0, idle 1, addr 256, en 0, wr_sample 239, index 0
ready 1, sample 36927, state 0, idle 1, addr 256, en 0, wr_sample 239, index 0
ready 0, sample 36927, state 0, idle 1, addr 256, en 0, wr_sample 239, index 0
ready 0, sample 38236, state 0, idle 1, addr 256, en 0, wr_sample 234, index 0
ready 1, sample 38236, state 0, idle 1, addr 256, en 0, wr_sample 234, index 0
ready 0, sample 38236, state 0, idle 1, addr 256, en 0, wr_sample 234, index 0
ready 0, sample 39704, state 0, idle 1, addr 256, en 0, wr_sample 228, index 0
ready 1, sample 39704, state 0, idle 1, addr 256, en 0, wr_sample 228, index 0
ready 0, sample 39704, state 0, idle 1, addr 256, en 0, wr_sample 228, index 0
ready 0, sample 41325, state 0, idle 1, addr 256, en 0, wr_sample 222, index 0
ready 1, sample 41325, state 0, idle 1, addr 256, en 0, wr_sample 222, index 0
ready 0, sample 41325, state 0, idle 1, addr 256, en 0, wr_sample 222, index 0
ready 0, sample 43088, state 0, idle 1, addr 256, en 0, wr_sample 215, index 0
ready 1, sample 43088, state 0, idle 1, addr 256, en 0, wr_sample 215, index 0
ready 0, sample 43088, state 0, idle 1, addr 256, en 0, wr_sample 215, index 0
ready 0, sample 44983, state 0, idle 1, addr 256, en 0, wr_sample 208, index 0
ready 1, sample 44983, state 0, idle 1, addr 256, en 0, wr_sample 208, index 0
ready 0, sample 44983, state 0, idle 1, addr 256, en 0, wr_sample 208, index 0
ready 0, sample 46999, state 0, idle 1, addr 256, en 0, wr_sample 200, index 0
ready 1, sample 46999, state 0, idle 1, addr 256, en 0, wr_sample 200, index 0
ready 0, sample 46999, state 0, idle 1, addr 256, en 0, wr_sample 200, index 0
ready 0, sample 49123, state 0, idle 1, addr 256, en 0, wr_sample 192, index 0
ready 1, sample 49123, state 0, idle 1, addr 256, en 0, wr_sample 192, index 0
ready 0, sample 49123, state 0, idle 1, addr 256, en 0, wr_sample 192, index 0
ready 0, sample 51345, state 0, idle 1, addr 256, en 0, wr_sample 183, index 0
ready 1, sample 51345, state 0, idle 1, addr 256, en 0, wr_sample 183, index 0
